,店舗名,店舗名カナ,郵便番号,住所,電話番号,FAX番号,e-mailアドレス,ホームページアドレス,最寄りの交通機関,営業時間,定休日,業種,店舗緯度,店舗経度,おむつ替え設備,授乳の場,子供用補助便座,妊婦用駐車場,障害者用駐車場,ミルクのお湯を提供,こどもと遊べる場,ベビーカー,利用可能時間
84,くすりのレデイ綾川店,くすりのれでいあやかわてん,761-2304,香川県綾歌郡綾川町萱原745番地1,087-876-5588,,,http://www.lady-drug.co.jp,,時 ～ 時、時 ～ 時、時 ～ 時,無休（正月休みあり）,,34.249658,133.931557,○,　,　,○,　,　,　,　,10時～21時
85,くすりのレデイ今里店,くすりのれでいいまざとてん,760-0078,香川県高松市今里町2丁目10-18,087-831-8100,,,http://www.lady-drug.co.jp,,時 ～ 時、時 ～ 時、時 ～ 時,無休（正月休みあり）,,34.32527,134.064382,○,　,　,○,　,　,　,　,10時～22時
86,くすりのレデイ宇多津店,くすりのれでいうたづてん,769-0206,香川県綾歌郡宇多津町浜六番丁83番2,0877-56-7778,,,http://www.lady-drug.co.jp,,時 ～ 時、時 ～ 時、時 ～ 時,無休（正月休みあり）,,34.305229,133.816239,○,　,　,○,　,　,　,　,10時～21時
87,くすりのレデイ円座店,くすりのれでいえんざてん,761-8044,香川県高松市円座町1037番地1,087-885-3700,,,http://www.lady-drug.co.jp,,時 ～ 時、時 ～ 時、時 ～ 時,無休（正月休みあり）,,34.291162,134.009954,○,　,　,○,　,　,　,　,10時～21時
88,くすりのレデイ扇町店,くすりのれでいおうぎまちてん,760-0013,香川県高松市扇町2丁目11番8号,087-823-8700,,,http://www.lady-drug.co.jp,,時 ～ 時、時 ～ 時、時 ～ 時,無休（正月休みあり）,,34.345307,134.032527,○,　,　,○,　,　,　,　,9時30分～21時
89,くすりのレデイ太田店,くすりのれでいおおたてん,761-8073,香川県高松市太田下町3007番地3,087-815-3555,,,http://www.lady-drug.co.jp,,10時～21時,無休（正月休みあり）,,34.305435,134.051953,○,　,　,○,　,　,　,　,10時～21時
90,くすりのレデイ春日店,くすりのれでいかすがてん,761-0101,香川県高松市春日町571番地1,087-844-1100,,,http://www.lady-drug.co.jp,,時 ～ 時、時 ～ 時、時 ～ 時,無休（正月休みあり）,,34.324318,134.092646,○,　,　,○,　,　,　,　,10時～21時
91,くすりのレデイ川島店,くすりのれでいかわしまてん,761-0443,香川県高松市川島東町249番地1,087-848-3377,,,http://www.lady-drug.co.jp/,,時 ～ 時、時 ～ 時、時 ～ 時,無休（正月休みあり）,,34.277371,134.091652,○,　,　,○,　,　,　,　,10時～20時
92,くすりのレデイ香西店,くすりのれでいこうざいてん,761-8014,香川県高松市香西南町466-1,087-881-8600,,,http://www.lady-drug.co.jp,,時 ～ 時、時 ～ 時、時 ～ 時,無休（正月休みあり）,,34.340946,134.001196,○,　,　,○,　,　,　,　,10時～21時
93,くすりのレデイ坂出店,くすりのれでいさかいでてん,762-0011,香川県坂出市江尻町1300-1,0877-59-3330,,,http://www.lady-drug.co.jp,,時 ～ 時、時 ～ 時、時 ～ 時,無休（正月休みあり）,,34.3161,133.875282,○,　,　,○,　,　,　,　,9時～20時
94,くすりのレデイ坂出南店,くすりのれでいさかいでみなみてん,762-0025,香川県坂出市川津町4894-1,0877-44-5757,,,http://www.lady-drug.co.jp,,時 ～ 時、時 ～ 時、時 ～ 時,無休（正月休みあり）,,34.293584,133.85027,○,　,　,○,　,　,　,　,10時～20時30分
95,くすりのレデイ志度店,くすりのれでいしどてん,769-2101,香川県さぬき市志度1020番地1,087-894-6800,,,http://www.lady-drug.co.jp/,,時 ～ 時、時 ～ 時、時 ～ 時,無休（正月休みあり）,,34.320777,134.181988,○,　,　,○,　,　,　,　,9時30分～21時
96,くすりのレデイ小豆島店,くすりのれでいしょうどしまてん,761-4121,香川県小豆郡土庄町淵崎甲1447番地1,0879-62-6000,,,http://www.lady-drug.co.jp,,時 ～ 時、時 ～ 時、時 ～ 時,無休（正月休みあり）,,34.488143,134.186371,○,　,　,○,　,　,　,　,9時30分～20時
97,くすりのレデイ善通寺店,くすりのれでいぜんつうじてん,765-0012,香川県善通寺市上吉田町564-1,0877-62-2000,,,http://www.lady-drug.co.jp,,時 ～ 時、時 ～ 時、時 ～ 時,無休（正月休みあり）,,34.230719,133.791843,○,　,　,○,　,　,　,　,9時～20時
98,くすりのレデイ高瀬店,くすりのれでいたかせてん,767-0001,香川県三豊市高瀬町上高瀬1455番地,0875-56-2020,,,http://www.lady-drug.co.jp,,時 ～ 時、時 ～ 時、時 ～ 時,無休（正月休みあり）,,34.182997,133.720208,○,　,　,○,　,　,　,　,9時30分～20時
99,くすりのレデイ高松一宮店,くすりのれでいたかまついちのみやてん,761-8084,香川県高松市一宮町字光明堂382-1,087-815-6600,,,http://www.lady-drug.co.jp,,時 ～ 時、時 ～ 時、時 ～ 時,無休（正月休みあり）,,34.282672,134.027364,○,　,　,○,　,　,　,　,9時30分～20時
100,くすりのレデイ長尾店,くすりのれでいながおてん,769-2302,香川県さぬき市長尾西字仲1002番地3,0879-52-2500,,,http://www.lady-drug.co.jp,,時 ～ 時、時 ～ 時、時 ～ 時,無休（正月休みあり）,,34.264633,134.170918,○,　,　,○,　,　,　,　,10時～20時
101,くすりのレデイ東かがわ店,くすりのれでいひがしかがわてん,769-2701,香川県東かがわ市湊817番地1,0879-26-3480,,,http://www.lady-drug.co.jp,,時 ～ 時、時 ～ 時、時 ～ 時,無休（正月休みあり）,,34.246322,134.346313,○,　,　,○,　,　,　,　,10時～20時
102,くすりのレデイ丸亀中央店,くすりのれでいまるがめちゅうおうてん,763-0033,香川県丸亀市中府町1丁目6番28号,0877-64-9222,,,http://www.lady-drug.co.jp,,時 ～ 時、時 ～ 時、時 ～ 時,無休（正月休みあり）,,34.279641,133.796745,○,　,　,○,　,　,　,　,10時～21時
103,くすりのレデイ丸亀土器店,くすりのれでいまるがめどきてん,763-0086,香川県丸亀市飯野町西分甲584番地1,0877-21-0700,,,http://www.lady-drug.co.jp,,時 ～ 時、時 ～ 時、時 ～ 時,無休（正月休みあり）,,34.284303,133.819936,○,　,　,○,　,　,　,　,10時～22時
104,くすりのレデイ丸亀南店,くすりのれでいまるがめみなみてん,763-0093,香川県丸亀市郡家町3295,0877-58-0818,,,http://www.lady-drug.co.jp,,時 ～ 時、時 ～ 時、時 ～ 時,無休（正月休みあり）,,34.259521,133.81487,○,　,　,○,　,　,　,　,10時～21時
105,くすりのレデイ牟礼店,くすりのれでいむれてん,761-0121,香川県高松市牟礼町牟礼998番地1,087-818-9100,,,http://www.lady-drug.co.jp,,時 ～ 時、時 ～ 時、時 ～ 時,無休（正月休みあり）,,34.341885,134.131452,○,　,　,○,　,　,　,　,10時～21時
106,くすりのレデイ屋島西店,くすりのれでいやしまにしてん,761-0113,香川県高松市屋島西町1981番地1,087-844-0600,,,http://www.lady-drug.co.jp,,時 ～ 時、時 ～ 時、時 ～ 時,無休（正月休みあり）,,34.336736,134.09807,○,　,　,○,　,　,　,　,10時～22時
107,クニカタコインランドリー　木太店,くにかたこいんらんどりーきたてん,760-0080,香川県高松市木太町1288-2,087-866-7811,,,,,時 ～ 時、時 ～ 時、時 ～ 時,年中無休,,34.320773,134.071987,○,　,　,○,　,　,　,　,24時間利用可能
108,久米加株式会社　オアシス県庁前SS,くめか　おあしすけんちょうまええすえす,760-0018,香川県高松市天神前1-1,087-831-5710,,,,,8時～20時,,,34.339983,134.047102,○,　,○,　,　,　,　,　,8時～20時
109,久米加株式会社　オアシス松縄SS,くめか　おあしすまつなわえすえす,760-0079,香川県高松市松縄町35-7,087-866-3181,,,,,8時～20時,,,34.322301,134.065332,○,　,○,　,　,　,　,　,8時～20時
110,クリナップ 高松ショールーム,くりなっぷ　たかまつしょーるーむ,761-8071,香川県高松市伏石町2166-2,087-868-5077,087-868-5207,,http://cleanup.jp/,高松自動車道・高松中央I.Cより車で約5分,10時 ～ 17時,水曜日、夏季・冬季休暇,住まい,34.307794,134.055981,○,○,　,　,　,　,○,　,10時 ～ 17時
111,クリントピア丸亀,くりんとぴあまるがめ,763-0083,香川県丸亀市土器町北1丁目72-2,0877-56-1144,0877-56-1661,clean@chusan.or.jp,http://www.chusan.or.jp/cleantopia/,丸亀駅より徒歩２５分　宇多津駅より徒歩１５分,9時30分 ～ 16時30分,月曜日、祝日、年末年始（臨時休館あり）,"教育, 見る・遊ぶ",34.308696,133.805126,○,○,○,○,○,○,　,○,9時30分 ～ 16時30分
112,ケーズデンキ高松春日店,けーずでんき　たかまつかすがてん,761-0101,香川県高松市春日町151-1,087-844-8833,,,,,10時 ～ 21時,1月1日,買う,34.317893,134.092918,○,○,○,○,○,　,　,○,10時 ～ 21時
113,ケーズデンキ綾川店,けーずでんきあやがわてん,761-2304,香川県綾歌郡綾川町萱原541番地,087-876-8822,,,,,時 ～ 時、時 ～ 時、時 ～ 時,1月1日,,34.251285,133.935423,○,　,○,○,　,　,　,　,10時～21時
114,ケーズデンキ観音寺店,けーずでんきかんおんじてん,768-0067,香川県観音寺市坂本町5丁目9番60号,0875-57-6611,,,,,時 ～ 時、時 ～ 時、時 ～ 時,1月1日,,34.123303,133.662476,○,○,○,○,　,　,　,　,10時～21時
115,ケーズデンキ高松本店,けーずでんきたかまつほんてん,761-8076,香川県高松市多肥上町1210,087-888-7711,,,,,時 ～ 時、時 ～ 時、時 ～ 時,1月1日,,34.294304,134.05434,○,○,○,○,　,　,　,　,10時～21時
116,こうのとり健康鍼灸院,こうのとりけんこうしんきゅういん,767-0001,香川県三豊市高瀬町上高瀬503,090-1007-8186,,,http://wwwa.pikara.ne.jp/kounotorishinkyu/,高瀬駅から車で５分,9時 ～ 18時,日曜・祝祭日・水曜,"理美容・整体, 医療機関",34.196876,133.722138,○,○,○,　,　,　,○,　,9時～18時
117,国営讃岐まんのう公園,こくえいさぬきまんのうこうえん,766-0023,香川県仲多度郡まんのう町吉野4243-12,0877-79-1700,,,http://www.mannoukouen.go.jp/,,9時30分～17時　季節により閉園時間は異なる,火曜日・イベント期間中は無休,,34.169107,133.879485,○,○,○,　,　,　,　,　,9時30分～17時　季節により閉園時間は異なる
118,子育ち親育ちほっとスペース　コムコムひろば・あやうた,こそだちおやそだちほっとすぺーす　こむこむひろば・あやうた,761-2406,香川県丸亀市綾歌町栗熊東2253-3　あやうたふれあいプラザ,0877-35-7114,0877-35-7114,comcomayauta@yahoo.co.jp,http://sanukids.org/,ことでん栗熊駅,9時30分 ～ 15時30分,土、日、祝日　年末年始,"見る・遊ぶ, その他",34.226679,133.884763,○,○,○,○,○,○,○,　,9時30分 ～ 15時30分
119,子育て広場くすくす,こそだてひろばくすくす,765-0013,香川県善通寺市文京町2-2-2　子どもセンター内,0877-64-0580,0877-64-0580,,,善通寺駅,10時 ～ 16時,土、日、祝日,複合施設,34.226469,133.787416,○,○,○,○,○,○,○,　,10時 ～ 16時
120,子育てほっとステーション　ゆうゆう広場,こそだてほっとすてーしょん　ゆうゆうひろば,761-0113,高松市屋島西町2479-12,087-841-8270,,,http://yuuyuu.ciao.jp/,,時 ～ 時、時 ～ 時、時 ～ 時,土曜日・日曜日・祝日・夏期・冬期休業,,34.353651,134.090317,○,○,○,○,　,　,　,　,9時30分～15時30分
121,子育て“ほっと”ステーションもこもこ,こそだてほっとすてーしょんもこもこ,761-8064,香川県高松市上之町2丁目9-23,087-868-2251,,,http://my-theater.net/index.html,,,土曜日・日曜日・祝祭日,,34.321076,134.049325,○,　,○,　,　,　,　,　,10時～16時
122,琴平町老人福祉センター,ことひらちょうろうじんふくしせんたー,766-0004,香川県仲多度郡琴平町榎井817番地9,0877-75-6718,,,http://www.town.kotohira.kagawa.jp,,8時30分～17時15分,土曜日・日曜日・祝祭日・年末年始,,34.191825,133.823083,○,　,　,○,　,　,　,　,8時30分～17時15分
123,コープ一宮,こーぷいちのみや,761-8084,香川県高松市一宮町長塚341,087-885-2110,,,http://www.kagawa.coop.or.jp/,,9時30分～21時,,,34.283683,134.028609,○,　,○,　,　,　,　,　,9時30分～21時
124,コープうたづ,こーぷうたづ,769-0205,香川県綾歌郡宇多津町浜五番丁49番地1,0877-56-7100,,,http://www.kagawa.coop.or.jp/,,9時30分～21時,,,34.308526,133.814822,○,　,○,　,　,　,　,　,9時30分～21時
125,コープ扇町,こーぷおうぎまち,760-0013,香川県高松市扇町2丁目360番地2,087-821-5050,,,http://www.kagawa.coop.or.jp/,,9時30分～22時,,,34.345335,134.033105,○,　,○,　,　,　,　,　,9時30分～22時
126,コープ太田,こーぷおおた,761-8071,香川県高松市伏石町2053-5,087-865-1500,,,http://www.kagawa.coop.or.jp/,,9時30分～21時,,,34.315379,134.054045,○,　,○,　,　,　,　,　,9時30分～21時
127,コープ観音寺,こーぷかんおんじ,768-0069,香川県観音寺市茂木町2丁目1-1,0875-25-6600,,,http://www.kagawa.coop.or.jp/,,10時～21時,,,34.129988,133.664281,○,　,○,　,　,　,　,　,10時～21時
128,コープ郡家,こーぷぐんけ,763-0093,香川県丸亀市郡家町3124-1,0877-24-7770,,,http://www.kagawa.coop.or.jp/,,時 ～ 時、時 ～ 時、時 ～ 時,,,34.259521,133.808463,○,　,○,　,　,　,　,　,10時～21時
129,コープ香西,こーぷこうざい,761-8012,香川県高松市香西本町96番地1,087-882-7333,,,http://www.kagawa.coop.or.jp/,,9時30分～21時,,,34.348073,134.002377,○,　,○,　,　,　,　,　,9時30分～21時
130,コープ坂出,こーぷさかいで,762-0046,香川県坂出市富士見町1丁目1192-1,0877-45-6100,,,http://www.kagawa.coop.or.jp/,,9時30分～21時,,,34.308777,133.849582,○,　,○,　,　,　,　,　,9時30分～21時
131,コープ志度,こーぷしど,769-2101,香川県さぬき市志度町志度2209,087-894-5700,,,http://www.kagawa.coop.or.jp/,,時 ～ 時、時 ～ 時、時 ～ 時,,,34.318719,134.178171,○,　,○,　,　,　,　,　,9時30分 ～ 21時
132,コープ飯山,こーぷはんざん,762-0082,香川県丸亀市飯山町川原869,0877-98-7611,,,http://www.kagawa.coop.or.jp/,,時 ～ 時、時 ～ 時、時 ～ 時,,,34.265947,133.854419,○,　,○,　,　,　,　,　,10時～21時
133,コープ三木,こーぷみき,761-0612,香川県木田郡三木町氷上字花丸911,087-898-8444,,,http://www.kagawa.coop.or.jp/,,10時～21時,,,34.26326,134.134862,○,　,○,　,　,　,　,　,10時～21時
134,コープ牟礼,こーぷむれ,761-0121,香川県高松市牟礼町牟礼994番地,087-845-1600,,,http://www.kagawa.coop.or.jp/,,9時30分～21時,,,34.342638,134.132785,○,　,○,　,　,　,　,　,9時30分～21時
135,コープ栗林,こーぷりつりん,760-0071,香川県高松市藤塚町3丁目17-8,087-862-6500,,,http://www.kagawa.coop.or.jp/,,9時30分～22時,,,34.332631,134.052455,○,　,○,　,　,　,　,　,9時30分～22時
136,中華料理　彩宴,さいえん,760-0062,香川県高松市塩上町12-1,087-833-0016,,,,,時 ～ 時、時 ～ 時、時 ～ 時,水曜日,,34.336108,134.052618,○,　,○,　,　,　,　,　,11時30分 ～ 14時、17時30分 ～ 21時30分
137,坂出駅市民サービスセンター,さかいでえきしみんさーびすせんたー,762-0045,香川県坂出市元町1丁目1番1号,0877-44-5057,,,http://www.city.sakaide.lg.jp/kurasi/sisetu/servicecenter.html,,平日7時30分～19時、土曜日・日曜日・祝日8時30分～17時15分,12月29日～1月3日,,34.31319,133.856267,○,　,○,　,　,　,　,　,平日7時30分～19時、土曜日・日曜日・祝日8時30分～17時15分
138,坂出緩衝緑地（番の州公園）,さかいでかんしょうりょくち　ばんのすこうえん,762-0063,香川県坂出市番の州公園5番地,0877-45-6820,,,http://www15.ocn.ne.jp/~kanryoku/,,時 ～ 時、時 ～ 時、時 ～ 時,年末年始のみ,,34.324357,133.832376,○,　,○,　,　,　,　,　,8時～18時
139,坂出グランドホテル,さかいでぐらんどほてる,762-0053,香川県坂出市西大浜北1丁目2番33号,0877-44-1000,,,http://www.sakaide-grandhotel.jp,,24時間営業,年中無休,,34.322937,133.847246,○,　,○,　,　,　,　,　,24時間営業
140,さかいで子育て支援センター　まろっ子ひろば,さかいでこそだてしえんせんたー　まろっこひろば,762-0012,香川県坂出市林田町1960-6,0877-35-8119,0877-35-8151,marokko@sakaide-kosodate.com,http://www.sakaide-kosodate.com/marokko/,坂出市王越線（バス）,9時 ～ 17時,毎週土曜日,見る・遊ぶ,34.326663,133.888494,○,○,○,○,○,○,○,　,9時 ～ 17時
141,坂出市教育会館,さかいでしきょういくかいかん,762-0003,香川県坂出市久米町1-18-20,0877-44-5024,,,http://www.city.sakaide.lg.jp/kurasi/sisetu/fureai.html,,8時30分～17時15分,土曜日・日曜日・祝日,,34.320108,133.858452,○,　,○,　,　,　,　,　,8時30分～17時15分
142,坂出市役所　庁舎,さかいでしやくしょちょうしゃ,762-8601,香川県坂出市室町2丁目3番5号,0877-44-5007,,,http://www.city.sakaide.lg.jp/index.html,,8時30分～17時15分,土曜日・日曜日・祝日,,34.316369,133.860643,○,　,　,○,　,　,　,　,8時30分～17時15分
143,坂出市立大橋記念図書館,さかいでしりつおおはしきねんとしょかん,762-0043,香川県坂出市寿町1丁目3番10号,0877-45-6677,,,http://www.city.sakaide.lg.jp/site/toshokan-top/lib-kosodate.html,,火曜日～金曜日9時～18時、土曜日・日曜日・祝日9時～17時,月曜日(国民の祝日が月曜日のときは、最も近い休日でない日が休館）館内整理日（毎月月末、ただし月末が土日の場合は金曜日）館内特別整理（10月）年度末整理日3月31日、年末年始12月29日～1月4日,,34.313997,133.849211,○,○,○,○,　,　,　,　,火曜日～金曜日9時～18時、土曜日・日曜日・祝日9時～17時
144,坂出市立体育館,さかいでしりつたいいくかん,762-0002,香川県坂出市入船町2丁目1番59号,0877-45-6670,,,http://www.city.sakaide.lg.jp/kurasi/sisetu/taiikukan.html,,9時～21時,毎週月曜日（ただし月曜日が祝日のときは翌日とする。）12月28日～1月5日は休館日,,34.32326,133.857768,○,　,○,　,　,　,　,　,9時～21時
145,さかえドライ　三条店,さかえどらい　さんじょうてん,761-8072,香川県高松市三条町88-1,087-800-7259,,,http://www.sakaedry.co.jp/,塩江街道沿い東バイパスより北へすぐ,8時～20時、日祝9時～20時,年中無休,クリーニング,34.313843,134.045295,○,　,　,○,　,　,　,　,7時～22時
146,さかえドライ　コインランドリー　屋島東店,さかえどらいこいんらんどりーやしまひがしてん,761-0104,香川県高松市高松町2373-15,087-806-1234,,,http://www.sakaedry.co.jp/,,6時～22時,年中無休,,34.340252,134.11459,○,　,　,○,　,　,　,　,6時～22時
147,さかえドライ　コインランドリー　レインボーロード店,さかえどらいこいんらんどりーれいんぼーろーどてん,761-8075,香川県高松市多肥下町1579-3,087-869-3174,,,http://www.sakaedry.co.jp/,,7時～22時,年中無休,クリーニング,34.298784,134.057662,○,　,　,○,　,　,　,　,7時～22時
148,さかえドライ　国分寺店,さかえどらいこくぶんじてん,769-0101,香川県高松市国分寺町新居1258-3,087-874-5232,,,http://www.sakaedry.co.jp/,高松市役所国分寺支所　向い側,平日8時～20時、日祝9時～20時,年中無休,クリーニング,34.295256,133.961091,○,　,　,○,　,　,　,　,6時～23時
149,さかえドライ　古高松店,さかえどらいふるたかまつてん,761-0102,香川県高松市新田町甲428-3,087-844-3960,,,http://www.sakaedry.co.jp/,塩江屋島西線沿い,平日8時～20時、日祝9時～20時,年中無休,クリーニング,34.329837,134.105327,○,　,　,○,　,　,　,　,7時～22時
150,さかえドライ　仏生山東店,さかえどらいぶっしょうざんひがしてん,761-8077,香川県高松市出作町311-1,087-888-2597,,,http://www.sakaedry.co.jp/,コトデン仏生山駅,平日8時～21時、日祝9時～21時,無休,クリーニング,34.284119,134.050332,○,　,　,○,　,　,　,　,7時～22時
151,坂手公民館,さかてこうみんかん,761-4425,香川県小豆郡小豆島町坂手甲1834-6,0879-82-0248,,,,,8時30分～22時,日曜日・祝日・年末年始,,34.457034,134.321577,○,　,○,　,　,　,　,　,8時30分～22時
152,サクラ美容室,さくらびようしつ,762-0012,香川県坂出市林田町3302-8,0877-47-1408,,,,,時 ～ 時、時 ～ 時、時 ～ 時,,,34.334501,133.885288,　,　,○,○,　,　,　,　,8時30分～18時
153,寿司処　さとし,さとし,761-0121,香川県高松市牟礼町牟礼1128‐1,087-845-1654,,,,,時 ～ 時、時 ～ 時、時 ～ 時,,,34.340227,134.13541,○,○,　,　,　,　,　,　,11時～14時、17時～23時
154,さぬき空港公園,さぬきくうこうこうえん,761-1402,香川県高松市香南町由佐2953-1,087-879-8510,087-879-7439,info@sanuki-airport-park.com,http://sanuki-airport-park.com,高松空港より徒歩10分,9時～17時,年末年始（左記に加えグラススキー場は木曜日・但し夏休み期間等は開園します。）,スポーツ,34.220659,134.015988,○,○,○,○,○,　,○,　,9時～17時
155,さぬきこどもの国,さぬきこどものくに,761-1402,香川県高松市香南町由佐3209,087-879-0500,087-879-0396,,http://www.sanuki.or.jp/,高松市内中心部から車で35分。土、日、祝、休日に高松空港からお越しの方はこどもの国までご連絡ください。,9時 ～17 時（夏休み期間中は18時まで）,月曜日（月曜日が祝日の場合は翌日）・年末年始・9月の第1月曜から４日間・ただしGW、長期休暇期間中は無休,"教育, 見る・遊ぶ, 複合施設, その他",34.212165,134.017251,○,○,○,○,○,○,○,○,9時～17時
156,さぬき市寒川庁舎,さぬきしさんがわちょうしゃ,769-2321,香川県さぬき市寒川町石田東甲935,0879-26-9902(福祉総務課),0879-26-9945,fukushisomu@city.sanuki.lg.jp,https://www.city.sanuki.kagawa.jp/,JR神前駅より徒歩約15分　大川バス引田線「さぬき市民病院前」下車徒歩約5分,8時30分 ～ 17時15分,土曜・日曜・祝日・年末年始,その他,34.237913,134.214721,○,○,○,○,○,○,○,　,8時30分 ～ 17時15分
157,さぬき市寒川図書館,さぬきしさんがわとしょかん,769-2321,香川県さぬき市寒川町石田東甲329番地,0879-43-6930,,,http://www.library.city.sanuki.kagawa.jp/index.html,,10時～18時,月曜日・祝日・年末年始・毎月月末・特別資料整理期間（9月に1週間程度）,,34.267233,134.203486,○,　,　,○,　,　,　,　,10時～18時
158,さぬき市志度図書館,さぬきししどとしょかん,769-2101,香川県さぬき市志度561番地1,087-814-2678,,,http://www.library.city.sanuki.kagawa.jp/index.html,,10時～18時,月曜日・祝日・年末年始・毎月月末（ただし月末が土曜日・日曜日の場合は開館し、代わりにその週の金曜日に休館）・特別資料整理期間（9月に1週間程度）,,34.323498,134.173835,○,○,○,○,　,　,　,　,10時～18時
159,さぬき市民病院,さぬきしみんびょういん,769-2321,香川県さぬき市寒川町石田東甲387-1,0879-43-2521,0879-43-6469,hp.somu@city.sanuki.lg.jp,https://www.city.sanuki.kagawa.jp/hospital,JR神前駅より徒歩約40分　大川バス引田線「さぬき市民病院前」下車,8時30分 ～ 17時,日曜日・土曜日・祝日・1月2日及び同月3日・12月29日から同月31日まで,医療機関,34.267158,134.202067,○,○,　,○,○,○,○,　,8時30分 ～ 17時
160,さぬき市役所,さぬきしやくしょ,769-2101,香川県さぬき市志度5385-8,0879-894-1111 代表(総務課),0879-894-4440,somu@city.sanuki.lg.jp,https://www.city.sanuki.kagawa.jp/,琴電志度駅より徒歩約4分　JR志度駅より徒歩約5分,8時30分 ～ 17時15分,土曜・日曜・祝日・年末年始,その他,34.325307,134.172101,○,　,　,○,○,　,○,　,8時30分 ～ 17時15分
161,特定非営利活動法人　さぬきっずコムシアター（コムコムひろば）,さぬきっずこむしあたー(こむこむひろば),763-0082,香川県丸亀市土器町東二丁目248番地,0877-25-0691,0877-25-0691,kgkagawa@io.ocn.ne.jp,http://www.sanukids-com.com/,JR宇多津駅より徒歩15分,9時 ～ 16時,土・日曜日、祝日,その他,34.285038,133.81633,○,○,○,　,　,○,○,○,9時 ～ 16時
162,さぬき料理　花太鼓,さぬきりょうり　はなだいこ,761-0301,香川県高松市林町1208,087-867-2292,,,,,時 ～ 時、時 ～ 時、時 ～ 時,年中無休,,34.299887,134.073452,○,○,○,　,　,　,　,　,11時～23時
163,サン・アンジェリーナ,さんあんじぇりーな,769-0210,香川県綾歌郡宇多津町,0877-46-2000,,,http://www.saint-angelina.com,,10時～21時30分,無休,,34.32001,133.830963,○,○,○,○,　,　,　,　,10時～21時30分
164,サンクリスタル高松,さんくりすたるたかまつ,760-0014,香川県高松市昭和町1丁目2-20,087-861-4501,,,http://library.city.takamatsu.kagawa.jp/,,"平日9時30分～19時,土曜日・日曜日・祝日9時30分～17時",祝日でない月曜日（その他月末休館・年末年始休館等有）,,34.343974,134.034374,○,○,○,○,　,　,　,　,"平日9時30分～19時,土曜日・日曜日・祝日9時30分～17時"
165,サンサン館みき,さんさんかんみき,761-0612,香川県木田郡三木町氷上2940番地1,087-891-0333,,,http://www.sansankanmiki.jp/,,9時～22時、日曜日9時～19時,火曜日,食べる,34.253386,134.135066,○,○,　,○,　,　,　,　,9時～22時、日曜日9時～19時
166,HandmadeBurger&Cafe SANTA'S DINER（サンタズダイナー）,さんたずだいなー,761-0113,香川県高松市屋島西町2506-17,087-816-0889,,,http://homepage3.nifty.com/0889/,,11時～20時,毎週火曜日,,34.34717,134.092007,○,　,○,○,　,　,　,　,11時～20時
167,サンメッセ香川,さんめっせかがわ,761-0301,香川県高松市林町2217-1,087-869-3333,087-869-3336,,http://www.sunmesse.com/,バス：サンメッセ・川島・西植田線「サンメッセ香川」下車すぐ,9時 ～ 21時,年中無休（施設点検にて臨時休館あり）,その他,34.295376,134.071366,○,○,○,　,○,○,　,○,9時 ～ 21時
168,ザグザグ上福岡店,ざぐざぐかみふくおかてん,760-0077,香川県高松市上福岡町769-1,087-812-0377,,,http://www.zagzag.co.jp,,時 ～ 時、時 ～ 時、時 ～ 時,年中無休,,34.332322,134.068315,○,　,○,○,　,　,　,　,9時～22時
169,ザグザグ川西店,ざぐざぐかわにしてん,763-0092,香川県丸亀市川西町南428-3,0877-58-6221,,,http://www.zagzag.co.jp,,9時～22時,無休,,34.252447,133.829681,　,　,○,○,　,　,　,　,9時～22時
170,ザグザグ鬼無店,ざぐざぐきなしてん,761-8023,香川県高松市鬼無町佐藤54-1,087-832-8220,,,http://www.zagzag.co.jp,,時 ～ 時、時 ～ 時、時 ～ 時,年中無休,,34.329127,133.994506,○,　,○,○,　,　,　,　,9時～21時45分
171,ザグザグ檀紙北店,ざぐざぐだんしきたてん,761-8033,香川県高松市飯田町30,087-870-5523,,,http://www.zagzag.co.jp,,時 ～ 時、時 ～ 時、時 ～ 時,年中無休,,34.313315,133.999684,○,　,○,○,　,　,　,　,9時～22時
172,ザグザグ中央インター店,ざぐざぐちゅうおういんたーてん,760-0080,香川県高松市木太町597,087-815-3977,,,http://www.zagzag.co.jp,,時 ～ 時、時 ～ 時、時 ～ 時,年中無休,,34.310505,134.073968,○,　,○,○,　,　,　,　,9時～22時
173,ザグザグ土庄店,ざぐざぐとのしょうてん,761-4100,香川県小豆郡土庄町字王子前甲36-1,0879-61-1666,,,http://www.zagzag.co.jp,,時 ～ 時、時 ～ 時、時 ～ 時,無休,,34.482334,134.18821,○,　,○,○,　,　,　,　,9時～22時
174,ザグザグ蓬莱店,ざぐざぐほうらいてん,763-0062,香川県丸亀市蓬莱町56-1,0877-58-2339,,,http://www.zagzag.co.jp,,10時～22時,無休,,34.293897,133.78403,○,　,○,○,　,　,　,　,10時～22時
175,ザグザグ丸亀バサラ店,ざぐざぐまるがめばさらてん,763-0072,丸亀市山北町50-1,0877-58-0822,,,http://www.zagzag.co.jp,,9時～22時,無休,,34.269093,133.79999,○,　,○,　,　,　,　,　,9時～22時
